Airport,Year,OpenHour,CloseHour,Capacity
AYWK,2019,0,24,999
AYWK,2020,0,24,999
AYWK,2021,0,24,999
AYWK,2022,0,24,999
AYWK,2023,0,24,999
AYWK,2024,0,24,999
AYWK,2025,0,24,999
BGAA,2018,0,24,999
BGAA,2019,0,24,999
BGAA,2020,0,24,999
BGAA,2021,0,24,999
BGAA,2022,0,24,999
BGAA,2023,0,24,999
BGAA,2024,0,24,999
BGAA,2025,0,24,999
BGAG,2018,0,24,999
BGAG,2019,0,24,999
BGAG,2020,0,24,999
BGAG,2021,0,24,999
BGAG,2022,0,24,999
BGAG,2023,0,24,999
BGAG,2024,0,24,999
BGAG,2025,0,24,999
BGAK,2018,0,24,999
BGAK,2019,0,24,999
BGAK,2020,0,24,999
BGAK,2021,0,24,999
BGAK,2022,0,24,999
BGAK,2023,0,24,999
BGAK,2024,0,24,999
BGAK,2025,0,24,999
BGAM,2018,0,24,999
BGAM,2019,0,24,999
BGAM,2020,0,24,999
BGAM,2021,0,24,999
BGAM,2022,0,24,999
BGAM,2023,0,24,999
BGAM,2024,0,24,999
BGAM,2025,0,24,999
BGAP,2018,0,24,999
BGAP,2019,0,24,999
BGAP,2020,0,24,999
BGAP,2021,0,24,999
BGAP,2022,0,24,999
BGAP,2023,0,24,999
BGAP,2024,0,24,999
BGAP,2025,0,24,999
BGAQ,2018,0,24,999
BGAQ,2019,0,24,999
BGAQ,2020,0,24,999
BGAQ,2021,0,24,999
BGAQ,2022,0,24,999
BGAQ,2023,0,24,999
BGAQ,2024,0,24,999
BGAQ,2025,0,24,999
BGAR,2018,0,24,999
BGAR,2019,0,24,999
BGAR,2020,0,24,999
BGAR,2021,0,24,999
BGAR,2022,0,24,999
BGAR,2023,0,24,999
BGAR,2024,0,24,999
BGAR,2025,0,24,999
BGAS,2018,0,24,999
BGAS,2019,0,24,999
BGAS,2020,0,24,999
BGAS,2021,0,24,999
BGAS,2022,0,24,999
BGAS,2023,0,24,999
BGAS,2024,0,24,999
BGAS,2025,0,24,999
BGAT,2018,0,24,999
BGAT,2019,0,24,999
BGAT,2020,0,24,999
BGAT,2021,0,24,999
BGAT,2022,0,24,999
BGAT,2023,0,24,999
BGAT,2024,0,24,999
BGAT,2025,0,24,999
BGBW,2018,0,24,999
BGBW,2019,0,24,999
BGBW,2020,0,24,999
BGBW,2021,0,24,999
BGBW,2022,0,24,999
BGBW,2023,0,24,999
BGBW,2024,0,24,999
BGBW,2025,0,24,999
BGCH,2018,0,24,999
BGCH,2019,0,24,999
BGCH,2020,0,24,999
BGCH,2021,0,24,999
BGCH,2022,0,24,999
BGCH,2023,0,24,999
BGCH,2024,0,24,999
BGCH,2025,0,24,999
BGCO,2018,0,24,999
BGCO,2019,0,24,999
BGCO,2020,0,24,999
BGCO,2021,0,24,999
BGCO,2022,0,24,999
BGCO,2023,0,24,999
BGCO,2024,0,24,999
BGCO,2025,0,24,999
BGDB,2018,0,24,999
BGDB,2019,0,24,999
BGDB,2020,0,24,999
BGDB,2021,0,24,999
BGDB,2022,0,24,999
BGDB,2023,0,24,999
BGDB,2024,0,24,999
BGDB,2025,0,24,999
BGDH,2018,0,24,999
BGDH,2019,0,24,999
BGDH,2020,0,24,999
BGDH,2021,0,24,999
BGDH,2022,0,24,999
BGDH,2023,0,24,999
BGDH,2024,0,24,999
BGDH,2025,0,24,999
BGET,2018,0,24,999
BGET,2019,0,24,999
BGET,2020,0,24,999
BGET,2021,0,24,999
