RegulationID,Capacity,StartTimestamp,EndTimestamp,ReferenceLocationName,ReferenceLocationType,ReferenceLocationRole,SlotWindowWidth,SlotSliceWidth,month,day_start,day_end,min_start,min_end,start,end,duration,initial_capacity,capacity_reduction,n_flights
LEBLA06A,28,2019-07-06T20:00:00.000Z,2019-07-06T20:40:00.000Z,LEBL,AD,A,10,20,7,13,13,1200,1240,19920,19960,40,39,0.28205128205128205,28
LEBLA07M,40,2019-07-07T10:20:00.000Z,2019-07-07T11:00:00.000Z,LEBL,AD,A,6,20,7,0,0,620,660,620,660,40,39,-0.02564102564102564,70
LEBLA24N,36,2019-06-24T20:20:00.000Z,2019-06-24T21:00:00.000Z,LEBL,AD,A,6,20,7,21,21,1220,1260,31460,31500,40,39,0.07692307692307693,31
LEBLA23A,39,2019-06-23T16:40:00.000Z,2019-06-23T18:00:00.000Z,LEBL,AD,A,10,20,7,4,4,1000,1080,6760,6840,80,39,0.0,34
LEBLA20,39,2019-06-20T06:40:00.000Z,2019-06-20T10:40:00.000Z,LEBL,AD,A,6,20,7,18,18,400,640,26320,26560,240,39,0.0,73
LEBLA26N,30,2019-06-26T21:00:00.000Z,2019-06-26T22:00:00.000Z,LEBL,AD,A,10,20,7,8,8,1260,1320,12780,12840,60,39,0.23076923076923078,15
LEBLA23,39,2019-06-23T07:40:00.000Z,2019-06-23T11:40:00.000Z,LEBL,AD,A,6,20,7,4,4,460,700,6220,6460,240,39,0.0,95
LEBLA30L,31,2019-06-30T22:00:00.000Z,2019-06-30T22:20:00.000Z,LEBL,AD,A,6,20,7,25,25,1320,1340,37320,37340,20,39,0.20512820512820512,11
LEBLA24N,30,2019-06-24T21:00:00.000Z,2019-06-24T22:20:00.000Z,LEBL,AD,A,6,20,7,21,21,1260,1340,31500,31580,80,39,0.23076923076923078,31
LEBLA07,30,2019-07-07T21:40:00.000Z,2019-07-07T23:20:00.000Z,LEBL,AD,A,6,20,7,0,0,1300,1400,1300,1400,100,39,0.23076923076923078,68
LEBLA08E,32,2019-07-08T17:20:00.000Z,2019-07-08T19:05:00.000Z,LEBL,AD,A,6,20,7,11,11,1040,1145,16880,16985,105,39,0.1794871794871795,279
LEBLA09,30,2019-07-09T15:30:00.000Z,2019-07-09T16:50:00.000Z,LEBL,AD,A,6,20,7,7,7,930,1010,11010,11090,80,39,0.23076923076923078,124
LEBLA02N,30,2019-07-02T21:00:00.000Z,2019-07-02T22:40:00.000Z,LEBL,AD,A,10,20,7,12,12,1260,1360,18540,18640,100,39,0.23076923076923078,41
LEBLA09,34,2019-07-09T16:50:00.000Z,2019-07-09T17:40:00.000Z,LEBL,AD,A,6,20,7,7,7,1010,1060,11090,11140,50,39,0.1282051282051282,124
LEBLA07,28,2019-07-07T20:00:00.000Z,2019-07-07T21:40:00.000Z,LEBL,AD,A,6,20,7,0,0,1200,1300,1200,1300,100,39,0.28205128205128205,68
LEBLA05N,31,2019-07-05T22:00:00.000Z,2019-07-05T23:00:00.000Z,LEBL,AD,A,10,20,7,26,26,1320,1380,38760,38820,60,39,0.20512820512820512,31
LEBLA07M,38,2019-07-07T07:40:00.000Z,2019-07-07T08:40:00.000Z,LEBL,AD,A,6,20,7,0,0,460,520,460,520,60,39,0.02564102564102564,70
LEBLA10N,30,2019-07-10T21:00:00.000Z,2019-07-10T22:39:00.000Z,LEBL,AD,A,6,20,7,24,24,1260,1359,35820,35919,99,39,0.23076923076923078,18
LEBLA09E,36,2019-07-09T06:40:00.000Z,2019-07-09T10:40:00.000Z,LEBL,AD,A,6,20,7,7,7,400,640,10480,10720,240,39,0.07692307692307693,57
LEBLA24M,39,2019-06-24T08:00:00.000Z,2019-06-24T09:20:00.000Z,LEBL,AD,A,10,20,7,21,21,480,560,30720,30800,80,39,0.0,18
LEBLA24,30,2019-06-24T14:50:00.000Z,2019-06-24T15:40:00.000Z,LEBL,AD,A,10,20,7,21,21,890,940,31130,31180,50,39,0.23076923076923078,69
LEBLA15N,31,2019-07-15T22:00:00.000Z,2019-07-15T22:40:00.000Z,LEBL,AD,A,10,20,7,9,9,1320,1360,14280,14320,40,39,0.20512820512820512,15
LEBLA05L,40,2019-07-05T16:20:00.000Z,2019-07-05T19:20:00.000Z,LEBL,AD,A,10,20,7,26,26,980,1160,38420,38600,180,39,-0.02564102564102564,58
LEBLA11,37,2019-07-11T08:00:00.000Z,2019-07-11T10:00:00.000Z,LEBL,AD,A,6,20,7,20,20,480,600,29280,29400,120,39,0.05128205128205128,92
LEBLA08E,28,2019-07-08T13:15:00.000Z,2019-07-08T14:31:00.000Z,LEBL,AD,A,6,20,7,11,11,795,871,16635,16711,76,39,0.28205128205128205,279
LEBLA09,25,2019-07-09T15:20:00.000Z,2019-07-09T15:30:00.000Z,LEBL,AD,A,6,20,7,7,7,920,930,11000,11010,10,39,0.358974358974359,124
