Airport,Capacity
EBBR,48
EDDB,50
EDDC,20
EDDE,9
EDDF,60
EDDG,20
EDDH,31
EDDK,31
EDDL,33
EDDM,58
EDDN,20
EDDP,28
EDDR,12
EDDS,35
EDDV,40
EDDW,18
EDJA,21
EETN,10
EFHK,48
EGBB,20
EGCC,33
EGGP,15
EGGW,20
EGKK,36
EGLC,20
EGLL,46
EGSS,28
EHAM,68
EICK,12
EIDW,30
EKCH,48
ELLX,20
ENGM,40
EPKK,17
ESSA,42
LFPG,75
LEMD,48
LEBL,38
LTFM,40
LIRF,54
LFPO,38
LOWW,48
LSZH,40
LPPT,23
LEPA,33
LIMC,40
LGAV,22
