RegulationID,Capacity,StartTimestamp,EndTimestamp,ReferenceLocationName,ReferenceLocationType,ReferenceLocationRole,SlotWindowWidth,SlotSliceWidth
EBBRA17A,30,2019-07-17T17:00:00.000Z,2019-07-17T19:00:00.000Z,EBBR/MB,AZ,A,10,20
EBBRA15,48,2019-07-15T06:00:00.000Z,2019-07-15T07:00:00.000Z,EBBR/MB,AZ,A,6,20
EBBRA14,30,2019-07-14T17:00:00.000Z,2019-07-14T19:20:00.000Z,EBBR/MB,AZ,A,10,20
EBBRA09,32,2019-07-09T17:00:00.000Z,2019-07-09T18:40:00.000Z,EBBR/MB,AZ,A,6,20
EBBRA07,24,2019-07-07T12:00:00.000Z,2019-07-07T15:00:00.000Z,EBBR/MB,AZ,A,10,20
EBBRA08,22,2019-07-08T11:40:00.000Z,2019-07-08T15:50:00.000Z,EBBR/MB,AZ,A,6,20
EBBRA04,32,2019-07-04T05:40:00.000Z,2019-07-04T08:00:00.000Z,EBBR/MB,AZ,A,10,20
EBBRA06,24,2019-07-06T13:00:00.000Z,2019-07-06T15:00:00.000Z,EBBR/MB,AZ,A,10,20
EBBRA03,30,2019-07-03T05:40:00.000Z,2019-07-03T08:20:00.000Z,EBBR/MB,AZ,A,10,20
EBBRA03L,30,2019-07-03T17:00:00.000Z,2019-07-03T19:30:00.000Z,EBBR/MB,AZ,A,10,20
EBBRA02L,30,2019-07-02T16:00:00.000Z,2019-07-02T19:00:00.000Z,EBBR/MB,AZ,A,10,20
EBBRA27E,30,2019-06-27T05:40:00.000Z,2019-06-27T08:20:00.000Z,EBBR/MB,AZ,A,10,20
EBBRA28,32,2019-06-28T17:00:00.000Z,2019-06-28T18:40:00.000Z,EBBR/MB,AZ,A,10,20
EBBRA27A,30,2019-06-27T17:00:00.000Z,2019-06-27T18:40:00.000Z,EBBR/MB,AZ,A,10,20
EBBRA28E,32,2019-06-28T05:40:00.000Z,2019-06-28T08:20:00.000Z,EBBR/MB,AZ,A,10,20
EBBRA26A,32,2019-06-26T17:00:00.000Z,2019-06-26T19:00:00.000Z,EBBR/MB,AZ,A,6,20
EBBRA26,32,2019-06-26T06:00:00.000Z,2019-06-26T12:00:00.000Z,EBBR/MB,AZ,A,6,20
EBBRA23,30,2019-06-23T17:00:00.000Z,2019-06-23T18:40:00.000Z,EBBR/MB,AZ,A,10,20
EBBRA21,32,2019-06-21T16:00:00.000Z,2019-06-21T19:20:00.000Z,EBBR/MB,AZ,A,6,20
EBBRA22M,32,2019-06-22T06:00:00.000Z,2019-06-22T08:00:00.000Z,EBBR/MB,AZ,A,10,20
EBBRMG17,0,2019-07-17T14:04:00.000Z,2019-07-17T14:28:00.000Z,EBBR/MB,AZ,G,10,20
EBBRMG10,0,2019-07-10T14:04:00.000Z,2019-07-10T14:28:00.000Z,EBBR/MB,AZ,G,10,20
EBLGG21,6,2019-06-21T23:30:00.000Z,2019-06-22T02:30:00.000Z,EBLG,AD,G,20,20
EDDFG13,93,2019-07-13T08:40:00.000Z,2019-07-13T09:46:00.000Z,EDDF,AD,G,10,20
EDDFA13,61,2019-07-13T12:40:00.000Z,2019-07-13T13:20:00.000Z,EDDF,AD,A,10,20
EDDFA13A,60,2019-07-13T17:00:00.000Z,2019-07-13T20:00:00.000Z,EDDF,AD,A,10,20
EDDFA13A,58,2019-07-13T16:40:00.000Z,2019-07-13T17:00:00.000Z,EDDF,AD,A,10,20
EDDFA13A,28,2019-07-13T15:20:00.000Z,2019-07-13T15:40:00.000Z,EDDF,AD,A,10,20
EDDFA13A,36,2019-07-13T15:40:00.000Z,2019-07-13T16:40:00.000Z,EDDF,AD,A,10,20
EDDFA13,48,2019-07-13T13:20:00.000Z,2019-07-13T15:13:00.000Z,EDDF,AD,A,10,20
EDDFA13M,52,2019-07-13T09:00:00.000Z,2019-07-13T11:00:00.000Z,EDDF,AD,A,10,20
EDDFA12E,25,2019-07-12T12:31:00.000Z,2019-07-12T14:00:00.000Z,EDDF,AD,A,6,20
EDDFA12E,45,2019-07-12T17:40:00.000Z,2019-07-12T19:13:00.000Z,EDDF,AD,A,6,20
EDDFA12E,35,2019-07-12T15:30:00.000Z,2019-07-12T17:40:00.000Z,EDDF,AD,A,6,20
EDDFA12E,1,2019-07-12T14:00:00.000Z,2019-07-12T15:00:00.000Z,EDDF,AD,A,6,20
EDDFA12E,35,2019-07-12T10:40:00.000Z,2019-07-12T12:31:00.000Z,EDDF,AD,A,6,20
EDDFA12M,43,2019-07-12T06:30:00.000Z,2019-07-12T07:50:00.000Z,EDDF,AD,A,6,20
EDDFA12E,42,2019-07-12T15:00:00.000Z,2019-07-12T15:30:00.000Z,EDDF,AD,A,6,20
EDDFA11,62,2019-07-11T13:00:00.000Z,2019-07-11T14:40:00.000Z,EDDF,AD,A,6,20
EDDFA12M,58,2019-07-12T07:50:00.000Z,2019-07-12T08:32:00.000Z,EDDF,AD,A,6,20
EDDFA07,43,2019-07-07T10:00:00.000Z,2019-07-07T14:47:00.000Z,EDDF,AD,A,10,20
EDDFA01,43,2019-07-01T04:30:00.000Z,2019-07-01T04:40:00.000Z,EDDF,AD,A,10,20
EDDFA01M,48,2019-07-01T08:20:00.000Z,2019-07-01T08:40:00.000Z,EDDF,AD,A,6,20
EDDFA01M,55,2019-07-01T08:40:00.000Z,2019-07-01T10:46:00.000Z,EDDF,AD,A,6,20
EDDFA20,43,2019-06-20T12:00:00.000Z,2019-06-20T12:40:00.000Z,EDDF,AD,A,6,20
EDDFA20,40,2019-06-20T16:00:00.000Z,2019-06-20T18:00:00.000Z,EDDF,AD,A,6,20
EDDFA22A,40,2019-06-22T16:20:00.000Z,2019-06-22T19:26:00.000Z,EDDF,AD,A,6,20
EDDFA20,35,2019-06-20T18:00:00.000Z,2019-06-20T21:00:00.000Z,EDDF,AD,A,6,20
EDDFA20,35,2019-06-20T12:40:00.000Z,2019-06-20T16:00:00.000Z,EDDF,AD,A,6,20
EDDFA01E,20,2019-07-01T05:00:00.000Z,2019-07-01T06:00:00.000Z,EDDF,AD,A,10,20
EDDFA01E,24,2019-07-01T06:00:00.000Z,2019-07-01T07:00:00.000Z,EDDF,AD,A,10,20
EDDHA11,20,2019-07-11T18:30:00.000Z,2019-07-11T18:51:00.000Z,EDDH,AD,A,10,20
EDDHA12L,24,2019-07-12T19:00:00.000Z,2019-07-12T21:00:00.000Z,EDDH,AD,A,10,20
EDDHA25M,22,2019-06-25T07:20:00.000Z,2019-06-25T09:00:00.000Z,EDDH,AD,A,10,20
EDDHA24N,20,2019-06-24T19:30:00.000Z,2019-06-24T19:40:00.000Z,EDDH,AD,A,10,20
EDDK09,24,2019-07-09T16:00:00.000Z,2019-07-09T17:20:00.000Z,EDDK,AD,G,10,20
EDDKA16L,28,2019-07-16T21:20:00.000Z,2019-07-16T23:00:00.000Z,EDDK,AD,A,10,20
EDDKA17,28,2019-07-17T21:00:00.000Z,2019-07-17T22:40:00.000Z,EDDK,AD,A,10,20
EDDKA15,28,2019-07-15T21:00:00.000Z,2019-07-15T23:00:00.000Z,EDDK,AD,A,10,20
EDDKA12,28,2019-07-12T21:20:00.000Z,2019-07-12T23:20:00.000Z,EDDK,AD,A,10,20
EDDKA09,14,2019-07-09T14:00:00.000Z,2019-07-09T14:10:00.000Z,EDDK,AD,A,10,20
EDDKA10,28,2019-07-10T21:20:00.000Z,2019-07-10T23:00:00.000Z,EDDK,AD,A,10,20
EDDKA09L,28,2019-07-09T21:20:00.000Z,2019-07-09T23:00:00.000Z,EDDK,AD,A,10,20
EDDKA08N,28,2019-07-08T21:40:00.000Z,2019-07-08T23:00:00.000Z,EDDK,AD,A,10,20
EDDKA08,14,2019-07-08T11:40:00.000Z,2019-07-08T13:00:00.000Z,EDDK,AD,A,10,20
EDDKA02L,28,2019-07-02T21:20:00.000Z,2019-07-02T23:00:00.000Z,EDDK,AD,A,10,20
EDDKA03L,28,2019-07-03T21:40:00.000Z,2019-07-03T23:00:00.000Z,EDDK,AD,A,10,20
EDDKA01A,28,2019-07-01T21:20:00.000Z,2019-07-01T23:20:00.000Z,EDDK,AD,A,10,20
EDDKA28A,28,2019-06-28T21:20:00.000Z,2019-06-28T23:00:00.000Z,EDDK,AD,A,10,20
EDDKA25,28,2019-06-25T21:40:00.000Z,2019-06-25T23:00:00.000Z,EDDK,AD,A,10,20
EDDKA26N,28,2019-06-26T21:20:00.000Z,2019-06-26T23:00:00.000Z,EDDK,AD,A,10,20
EDDKA24N,28,2019-06-24T21:20:00.000Z,2019-06-24T23:00:00.000Z,EDDK,AD,A,10,20
EDDKA20,28,2019-06-20T21:20:00.000Z,2019-06-20T22:25:00.000Z,EDDK,AD,A,10,20
EDDKA21,28,2019-06-21T21:20:00.000Z,2019-06-21T23:00:00.000Z,EDDK,AD,A,10,20
EDDLA16L,36,2019-07-16T19:20:00.000Z,2019-07-16T21:00:00.000Z,EDDL,AD,A,6,20
EDDLA17,34,2019-07-17T19:00:00.000Z,2019-07-17T21:00:00.000Z,EDDL,AD,A,10,20
EDDLA17M,33,2019-07-17T08:00:00.000Z,2019-07-17T08:40:00.000Z,EDDL,AD,A,8,20
EDDLA17M,24,2019-07-17T06:20:00.000Z,2019-07-17T08:00:00.000Z,EDDL,AD,A,8,20
EDDLA14N,36,2019-07-14T19:00:00.000Z,2019-07-14T21:00:00.000Z,EDDL,AD,A,10,20
EDDLA14M,24,2019-07-14T11:00:00.000Z,2019-07-14T12:40:00.000Z,EDDL,AD,A,10,20
EDDLA12A,33,2019-07-12T19:00:00.000Z,2019-07-12T19:20:00.000Z,EDDL,AD,A,10,20
EDDLA11M,33,2019-07-11T08:00:00.000Z,2019-07-11T08:40:00.000Z,EDDL,AD,A,10,20
EDDLA11,36,2019-07-11T19:20:00.000Z,2019-07-11T21:00:00.000Z,EDDL,AD,A,10,20
EDDLA12E,21,2019-07-12T07:00:00.000Z,2019-07-12T08:20:00.000Z,EDDL,AD,A,10,20
EDDLA12E,28,2019-07-12T08:20:00.000Z,2019-07-12T11:00:00.000Z,EDDL,AD,A,10,20
EDDLA12A,20,2019-07-12T13:40:00.000Z,2019-07-12T19:00:00.000Z,EDDL,AD,A,10,20
EDDLA11M,24,2019-07-11T06:40:00.000Z,2019-07-11T08:00:00.000Z,EDDL,AD,A,10,20
EDDLA12A,35,2019-07-12T19:20:00.000Z,2019-07-12T21:00:00.000Z,EDDL,AD,A,10,20
EDDLA10L,36,2019-07-10T19:00:00.000Z,2019-07-10T21:00:00.000Z,EDDL,AD,A,6,20
EDDLA09L,36,2019-07-09T19:20:00.000Z,2019-07-09T21:20:00.000Z,EDDL,AD,A,10,20
EDDLA10M,24,2019-07-10T07:00:00.000Z,2019-07-10T08:40:00.000Z,EDDL,AD,A,10,20
EDDLA07A,33,2019-07-07T18:00:00.000Z,2019-07-07T18:20:00.000Z,EDDL,AD,A,10,20
EDDLA07A,24,2019-07-07T15:20:00.000Z,2019-07-07T18:00:00.000Z,EDDL,AD,A,10,20
EDDLA07M,24,2019-07-07T10:20:00.000Z,2019-07-07T11:40:00.000Z,EDDL,AD,A,10,20
EDDLA04,35,2019-07-04T19:20:00.000Z,2019-07-04T21:00:00.000Z,EDDL,AD,A,10,20
EDDLA05M,33,2019-07-05T08:00:00.000Z,2019-07-05T08:20:00.000Z,EDDL,AD,A,10,20
EDDLA05M,26,2019-07-05T07:00:00.000Z,2019-07-05T08:00:00.000Z,EDDL,AD,A,10,20
EDDLA02A,36,2019-07-02T19:20:00.000Z,2019-07-02T21:00:00.000Z,EDDL,AD,A,10,20
EDDLA03A,24,2019-07-03T14:00:00.000Z,2019-07-03T15:00:00.000Z,EDDL,AD,A,10,20
EDDLA03L,36,2019-07-03T19:00:00.000Z,2019-07-03T21:00:00.000Z,EDDL,AD,A,10,20
EDDLA03A,33,2019-07-03T15:00:00.000Z,2019-07-03T16:00:00.000Z,EDDL,AD,A,10,20
EDDLA03,23,2019-07-03T07:00:00.000Z,2019-07-03T08:00:00.000Z,EDDL,AD,A,10,20
EDDLA03,33,2019-07-03T08:00:00.000Z,2019-07-03T08:30:00.000Z,EDDL,AD,A,10,20
EDDLA30A,36,2019-06-30T19:00:00.000Z,2019-06-30T21:00:00.000Z,EDDL,AD,A,10,20
EDDLA01,36,2019-07-01T19:00:00.000Z,2019-07-01T21:00:00.000Z,EDDL,AD,A,6,20
EDDLA30E,24,2019-06-30T07:20:00.000Z,2019-06-30T08:40:00.000Z,EDDL,AD,A,10,20
EDDLA30,23,2019-06-30T14:40:00.000Z,2019-06-30T18:20:00.000Z,EDDL,AD,A,10,20
EDDLA28,36,2019-06-28T19:20:00.000Z,2019-06-28T21:00:00.000Z,EDDL,AD,A,6,20
EDDLA27M,24,2019-06-27T06:40:00.000Z,2019-06-27T08:20:00.000Z,EDDL,AD,A,10,20
EDDLA28M,33,2019-06-28T08:00:00.000Z,2019-06-28T08:40:00.000Z,EDDL,AD,A,10,20
EDDLA28M,24,2019-06-28T07:00:00.000Z,2019-06-28T08:00:00.000Z,EDDL,AD,A,10,20
EDDLA26A,24,2019-06-26T17:00:00.000Z,2019-06-26T19:00:00.000Z,EDDL,AD,A,9,20
EDDLA26,33,2019-06-26T08:00:00.000Z,2019-06-26T08:40:00.000Z,EDDL,AD,A,10,20
EDDLA25,36,2019-06-25T19:00:00.000Z,2019-06-25T21:00:00.000Z,EDDL,AD,A,6,20
EDDLA26N,36,2019-06-26T19:00:00.000Z,2019-06-26T21:00:00.000Z,EDDL,AD,A,10,20
EDDLA26,24,2019-06-26T07:00:00.000Z,2019-06-26T08:00:00.000Z,EDDL,AD,A,10,20
EDDLA24,24,2019-06-24T07:00:00.000Z,2019-06-24T08:00:00.000Z,EDDL,AD,A,10,20
EDDLA24D,24,2019-06-24T16:40:00.000Z,2019-06-24T18:20:00.000Z,EDDL,AD,A,10,20
EDDLA24A,34,2019-06-24T19:00:00.000Z,2019-06-24T21:20:00.000Z,EDDL,AD,A,10,20
EDDLA23L,34,2019-06-23T19:00:00.000Z,2019-06-23T21:00:00.000Z,EDDL,AD,A,6,20
EDDLA20,24,2019-06-20T15:00:00.000Z,2019-06-20T16:40:00.000Z,EDDL,AD,A,10,20
EDDLA20A,36,2019-06-20T19:20:00.000Z,2019-06-20T21:00:00.000Z,EDDL,AD,A,10,20
EDDMA15A,49,2019-07-15T15:30:00.000Z,2019-07-15T17:20:00.000Z,EDDM,AD,A,10,20
EDDMA12A,45,2019-07-12T18:30:00.000Z,2019-07-12T18:41:00.000Z,EDDM,AD,A,10,20
EDDMA12E,48,2019-07-12T11:00:00.000Z,2019-07-12T13:40:00.000Z,EDDM,AD,A,6,20
EDDMA07M,38,2019-07-07T08:00:00.000Z,2019-07-07T09:00:00.000Z,EDDM,AD,A,6,20
EDDMA07M,30,2019-07-07T07:00:00.000Z,2019-07-07T08:00:00.000Z,EDDM,AD,A,6,20
EDDMA07M,45,2019-07-07T09:00:00.000Z,2019-07-07T09:20:00.000Z,EDDM,AD,A,6,20
EDDMA02,42,2019-07-02T04:20:00.000Z,2019-07-02T06:04:00.000Z,EDDM,AD,A,10,20
EDDMA01,35,2019-07-01T11:00:00.000Z,2019-07-01T13:00:00.000Z,EDDM,AD,A,10,20
EDDMA01,35,2019-07-01T15:15:00.000Z,2019-07-01T17:00:00.000Z,EDDM,AD,A,10,20
EDDMA01,20,2019-07-01T13:00:00.000Z,2019-07-01T15:15:00.000Z,EDDM,AD,A,10,20
EDDMA01,45,2019-07-01T17:00:00.000Z,2019-07-01T18:21:00.000Z,EDDM,AD,A,10,20
EDDMA29,30,2019-06-29T14:20:00.000Z,2019-06-29T15:14:00.000Z,EDDM,AD,A,10,20
EDDMA23,42,2019-06-23T11:20:00.000Z,2019-06-23T14:00:00.000Z,EDDM,AD,A,10,20
EDDMA22A,1,2019-06-22T18:00:00.000Z,2019-06-22T18:20:00.000Z,EDDM,AD,A,10,20
EDDMA20A,40,2019-06-20T16:30:00.000Z,2019-06-20T17:20:00.000Z,EDDM,AD,A,10,20
EDDMA22A,20,2019-06-22T18:20:00.000Z,2019-06-22T19:30:00.000Z,EDDM,AD,A,10,20
EDDMA22A,20,2019-06-22T17:00:00.000Z,2019-06-22T18:00:00.000Z,EDDM,AD,A,10,20
EDDMA22A,28,2019-06-22T19:30:00.000Z,2019-06-22T21:00:00.000Z,EDDM,AD,A,10,20
EDDMA20A,55,2019-06-20T17:20:00.000Z,2019-06-20T18:31:00.000Z,EDDM,AD,A,10,20
EDDMA20A,20,2019-06-20T15:00:00.000Z,2019-06-20T16:30:00.000Z,EDDM,AD,A,10,20
EDDPA11,28,2019-07-11T21:20:00.000Z,2019-07-11T22:40:00.000Z,EDDP,AD,A,10,20
EDDPA20,19,2019-06-20T20:40:00.000Z,2019-06-20T22:00:00.000Z,EDDP,AD,A,10,20
EDDPA20,23,2019-06-20T22:00:00.000Z,2019-06-20T22:37:00.000Z,EDDP,AD,A,10,20
EDDSA27L,25,2019-06-27T16:00:00.000Z,2019-06-27T17:40:00.000Z,EDDS,AD,A,10,20
EDDSA27,0,2019-06-27T14:10:00.000Z,2019-06-27T15:00:00.000Z,EDDS,AD,A,10,20
EDDSA27,10,2019-06-27T15:00:00.000Z,2019-06-27T16:01:00.000Z,EDDS,AD,A,10,20
EDDSA21,22,2019-06-21T15:20:00.000Z,2019-06-21T17:20:00.000Z,EDDS,AD,A,10,20
EDDTA12,18,2019-07-12T15:20:00.000Z,2019-07-12T17:20:00.000Z,EDDT,AD,A,10,20
EDDWG12E,9,2019-07-12T08:00:00.000Z,2019-07-12T09:20:00.000Z,EDDW,AD,G,10,20
EDDWG09,9,2019-07-09T06:40:00.000Z,2019-07-09T08:03:00.000Z,EDDW,AD,G,10,20
EDDWG02,9,2019-07-02T17:40:00.000Z,2019-07-02T20:00:00.000Z,EDDW,AD,G,10,20
EDDWG25,9,2019-06-25T17:20:00.000Z,2019-06-25T20:00:00.000Z,EDDW,AD,G,10,20
EDLN28,0,2019-06-28T15:00:00.000Z,2019-06-28T16:00:00.000Z,EDLN,AD,G,10,20
EDLN17,1,2019-07-17T07:10:00.000Z,2019-07-17T08:00:00.000Z,EDLN,AD,A,20,20
EDLNA14A,2,2019-07-14T12:00:00.000Z,2019-07-14T13:30:00.000Z,EDLN,AD,A,30,20
EDLNA10,2,2019-07-10T13:00:00.000Z,2019-07-10T13:45:00.000Z,EDLN,AD,A,15,20
EDLNA04A,1,2019-07-04T15:00:00.000Z,2019-07-04T16:00:00.000Z,EDLN,AD,A,30,20
EDLNA28,0,2019-06-28T15:06:00.000Z,2019-06-28T16:00:00.000Z,EDLN,AD,A,10,20
EDLNA24M,1,2019-06-24T07:40:00.000Z,2019-06-24T08:24:00.000Z,EDLN,AD,A,20,20
EDLPG28,0,2019-06-28T23:00:00.000Z,2019-06-29T04:00:00.000Z,EDLP,AD,G,10,20
EDLPA30E,0,2019-06-30T09:30:00.000Z,2019-06-30T11:54:00.000Z,EDLP,AD,A,2,20
EDSBTL15,10,2019-07-15T14:00:00.000Z,2019-07-15T15:00:00.000Z,EDSBTL,AZ,G,15,20
EDSBTL09,8,2019-07-09T07:00:00.000Z,2019-07-09T10:40:00.000Z,EDSBTL,AZ,G,10,20
EFHKA17,36,2019-07-17T12:50:00.000Z,2019-07-17T13:13:00.000Z,EFHK,AD,A,10,20
EFHKA16,34,2019-07-16T11:00:00.000Z,2019-07-16T13:00:00.000Z,EFHK,AD,A,10,20
EFHKA17,33,2019-07-17T11:20:00.000Z,2019-07-17T12:50:00.000Z,EFHK,AD,A,10,20
EFHKA08M,36,2019-07-08T11:40:00.000Z,2019-07-08T13:11:00.000Z,EFHK,AD,A,10,20
EFHKA07,28,2019-07-07T11:00:00.000Z,2019-07-07T13:40:00.000Z,EFHK,AD,A,10,20
EFHKA08M,30,2019-07-08T11:20:00.000Z,2019-07-08T11:40:00.000Z,EFHK,AD,A,10,20
EFHKA06,32,2019-07-06T11:20:00.000Z,2019-07-06T13:40:00.000Z,EFHK,AD,A,10,20
EFHKA05,32,2019-07-05T12:00:00.000Z,2019-07-05T13:40:00.000Z,EFHK,AD,A,10,20
EFHKA02,28,2019-07-02T11:00:00.000Z,2019-07-02T13:20:00.000Z,EFHK,AD,A,10,20
EGACA13,0,2019-07-13T16:50:00.000Z,2019-07-13T17:55:00.000Z,EGAC,AD,A,10,20
EGACA13A,0,2019-07-13T18:50:00.000Z,2019-07-13T19:40:00.000Z,EGAC,AD,A,10,20
EGACA11,0,2019-07-11T18:50:00.000Z,2019-07-11T19:40:00.000Z,EGAC,AD,A,10,20
EGACA12,8,2019-07-12T19:40:00.000Z,2019-07-12T21:00:00.000Z,EGAC,AD,A,10,20
EGACA12,0,2019-07-12T18:50:00.000Z,2019-07-12T19:40:00.000Z,EGAC,AD,A,10,20
EGACA09E,6,2019-07-09T09:20:00.000Z,2019-07-09T09:36:00.000Z,EGAC,AD,A,20,20
EGACA09E,4,2019-07-09T07:10:00.000Z,2019-07-09T09:20:00.000Z,EGAC,AD,A,20,20
EGACA09E,0,2019-07-09T06:20:00.000Z,2019-07-09T07:10:00.000Z,EGAC,AD,A,20,20
EGACA10M,0,2019-07-10T06:20:00.000Z,2019-07-10T07:10:00.000Z,EGAC,AD,A,20,20
EGACA10M,4,2019-07-10T07:10:00.000Z,2019-07-10T09:30:00.000Z,EGAC,AD,A,20,20
EGCCA04A,15,2019-07-04T12:00:00.000Z,2019-07-04T12:55:00.000Z,EGCC,AD,A,10,20
EGCCA03E,28,2019-07-03T06:00:00.000Z,2019-07-03T06:59:00.000Z,EGCC,AD,A,10,20
EGGDA23,0,2019-06-23T13:10:00.000Z,2019-06-23T14:10:00.000Z,EGGD,AD,A,20,20
