RegulationID,Capacity,StartTimestamp,EndTimestamp,ReferenceLocationName,ReferenceLocationType,ReferenceLocationRole,SlotWindowWidth,SlotSliceWidth
LEMDA19A,30,2019-07-19T21:00:00.000Z,2019-07-19T21:40:00.000Z,LEMD,AD,A,6,20
LEMDA18M,51,2019-07-18T11:00:00.000Z,2019-07-18T13:40:00.000Z,LEMD,AD,A,6,20
LEMGA14L,16,2019-08-14T20:40:00.000Z,2019-08-14T20:50:00.000Z,LEMG,AD,A,10,20
LEMGA12,25,2019-08-12T08:00:00.000Z,2019-08-12T09:00:00.000Z,LEMG,AD,A,10,20
LEMGA01,19,2019-08-01T14:00:00.000Z,2019-08-01T15:40:00.000Z,LEMG,AD,A,10,20
LEMGA27N,16,2019-07-27T20:00:00.000Z,2019-07-27T22:00:00.000Z,LEMG,AD,A,10,20
LEMGA21M,25,2019-07-21T07:00:00.000Z,2019-07-21T09:20:00.000Z,LEMG,AD,A,10,20
LEMHG04,0,2019-08-04T21:25:00.000Z,2019-08-04T21:45:00.000Z,LEMH,AD,G,10,20
LEPAA12M,30,2019-08-12T06:00:00.000Z,2019-08-12T07:50:00.000Z,LEPA/SJ,AZ,A,10,20
LEPAA13,34,2019-08-13T08:20:00.000Z,2019-08-13T13:39:00.000Z,LEPA/SJ,AZ,A,6,20
LEPAA13,0,2019-08-13T06:20:00.000Z,2019-08-13T08:20:00.000Z,LEPA/SJ,AZ,A,6,20
LEPAA11A,34,2019-08-11T17:40:00.000Z,2019-08-11T20:40:00.000Z,LEPA/SJ,AZ,A,10,20
LEPAA11M,34,2019-08-11T09:40:00.000Z,2019-08-11T13:40:00.000Z,LEPA/SJ,AZ,A,6,20
LEPAA08,34,2019-08-08T17:20:00.000Z,2019-08-08T19:20:00.000Z,LEPA/SJ,AZ,A,10,20
LEPAA08M,34,2019-08-08T07:20:00.000Z,2019-08-08T09:00:00.000Z,LEPA/SJ,AZ,A,6,20
LEPAA07M,34,2019-08-07T10:00:00.000Z,2019-08-07T11:30:00.000Z,LEPA/SJ,AZ,A,10,20
