"EGLL",39,5
"EGLL",39,6
"EGLL",39,7
"EGLL",46,8
"EGLL",41,9
"EGLL",41,10
"EGLL",40,11
"EGLL",44,12
"EGLL",40,13
"EGLL",38,14
"EGLL",44,15
"EGLL",40,16
"EGLL",45,17
"EGLL",42,18
"EGLL",40,19
"EGLL",42,20
"EGLL",26,21
1     LFPG
3     EDDF
5     LEBL
6     LTFM
7     EDDM
9     LIRF
10    EIDW
12    LOWW
15    EKCH
16    LEPA
17    EGCC
18    LIMC
19    ENGM
20    EGSS
21    EBBR
22    ESSA
23    LGAV
24    EDDL
