aircraft,frequency
B738,414572
A320,360841
A319,157467
A321,128275
DH8D,53567
E190,48137
B77W,38432
A332,33457
CRJ9,31710
A333,30770
B737,28992
B752,22568
B763,22011
B772,19292
B734,18458
B788,17350
B733,15836
B744,14347
A388,13731
B77L,9375
E170,9046
E145,8327
AT72,8045
A318,7670
B735,6227
A343,5981
B748,5429
A306,4619
A346,4109
CRJ7,3646
B753,3317
B736,3273
B764,2463
F100,2332
B762,1647
RJ1H,1642
E135,1368
F70,42
