airline,num flights,initial costs,final costs,reduction %,run,model
B,12,1812.8300000000002,1727.83,84.89,3,istop
A,17,1520.84,1502.0499999999997,91.44,3,istop
C,10,1322.3200000000002,1210.18,82.38,3,istop
E,3,203.98,200.14,11.21,3,istop
D,7,4724.92,4718.900000000001,78.28,3,istop
F,1,38.59,38.59,11.94,3,istop
total,50,23139.790000000005,6063.88,73.79,4,mincost
C,10,3870.93,1225.49,68.34,4,mincost
B,13,4696.080000000001,1606.6899999999998,65.79,4,mincost
D,7,3268.2699999999995,822.5699999999999,74.83,4,mincost
E,3,626.74,312.41,50.15,4,mincost
A,16,9951.059999999998,2067.3200000000006,79.23,4,mincost
F,1,726.71,29.4,95.95,4,mincost
total,50,23139.790000000005,6063.88,73.79,4,nnbound
C,10,3870.93,1225.49,68.34,4,nnbound
B,13,4696.080000000001,1606.6899999999998,65.79,4,nnbound
D,7,3268.2699999999995,822.5699999999999,74.83,4,nnbound
E,3,626.74,312.41,50.15,4,nnbound
A,16,9951.059999999998,2067.3200000000006,79.23,4,nnbound
F,1,726.71,29.4,95.95,4,nnbound
total,50,23139.790000000005,7865.140000000002,66.01,4,udpp
C,10,3870.93,877.72,77.33,4,udpp
B,13,4696.080000000001,2325.65,50.48,4,udpp
D,7,3268.2699999999995,1480.35,54.71,4,udpp
E,3,626.74,608.88,2.85,4,udpp
A,16,9951.059999999998,1845.83,81.45,4,udpp
F,1,726.71,726.71,0.0,4,udpp
total,50,7865.14,6864.569999999998,70.33,4,istop
C,10,877.72,638.8,83.5,4,istop
B,13,2325.65,1855.55,60.49,4,istop
D,7,1480.35,1422.67,56.47,4,istop
E,3,608.88,608.88,2.85,4,istop
A,16,1845.8299999999997,1611.9599999999998,83.8,4,istop
F,1,726.71,726.71,0.0,4,istop
total,50,48487.24,7292.070000000002,84.96,5,mincost
B,12,15617.159999999996,1793.19,88.52,5,mincost
C,10,19103.309999999998,1242.8600000000001,93.49,5,mincost
D,6,5653.530000000001,821.05,85.48,5,mincost
A,19,7155.039999999999,2696.88,62.31,5,mincost
F,1,17.04,251.89,-1378.23,5,mincost
E,2,941.1600000000001,486.20000000000005,48.34,5,mincost
total,50,48487.24,7815.8600000000015,83.88,5,nnbound
B,12,15617.159999999996,1894.02,87.87,5,nnbound
C,10,19103.309999999998,1343.05,92.97,5,nnbound
D,6,5653.530000000001,747.0699999999999,86.79,5,nnbound
A,19,7155.039999999999,3328.48,53.48,5,nnbound
F,1,17.04,17.04,0.0,5,nnbound
E,2,941.1600000000001,486.20000000000005,48.34,5,nnbound
total,50,48487.24,12771.680000000004,73.66,5,udpp
B,12,15617.159999999996,1964.82,87.42,5,udpp
C,10,19103.309999999998,2466.46,87.09,5,udpp
D,6,5653.530000000001,5143.79,9.02,5,udpp
A,19,7155.039999999999,2260.9400000000005,68.4,5,udpp
F,1,17.04,9.54,44.01,5,udpp
E,2,941.1600000000001,926.13,1.6,5,udpp
total,50,12771.680000000004,10291.870000000003,78.77,5,istop
B,12,1964.82,1942.73,87.56,5,istop
C,10,2466.46,2462.63,87.11,5,istop
D,6,5143.790000000001,3543.69,37.32,5,istop
A,19,2260.94,1965.4199999999996,72.53,5,istop
F,1,9.54,9.54,44.01,5,istop
E,2,926.13,367.86,60.91,5,istop
total,50,61729.16999999999,6868.230000000001,88.87,6,mincost
B,13,23633.28,1555.5800000000002,93.42,6,mincost
A,16,21263.969999999998,1884.0100000000002,91.14,6,mincost
C,11,10243.189999999999,1600.3500000000004,84.38,6,mincost
D,6,6022.83,555.44,90.78,6,mincost
E,3,458.37,1032.87,-125.34,6,mincost
F,1,107.53,239.98,-123.17,6,mincost
total,50,61729.16999999999,7002.670000000002,88.66,6,nnbound
B,13,23633.28,1797.53,92.39,6,nnbound
A,16,21263.969999999998,2267.87,89.33,6,nnbound
C,11,10243.189999999999,1755.4700000000003,82.86,6,nnbound
D,6,6022.83,632.99,89.49,6,nnbound
E,3,458.37,441.28,3.73,6,nnbound
F,1,107.53,107.53,0.0,6,nnbound
total,50,61729.16999999999,7835.369999999999,87.31,6,udpp
B,13,23633.28,1053.28,95.54,6,udpp
A,16,21263.969999999998,3286.2400000000002,84.55,6,udpp
C,11,10243.189999999999,1660.49,83.79,6,udpp
D,6,6022.83,1323.46,78.03,6,udpp
E,3,458.37,404.37,11.78,6,udpp
F,1,107.53,107.53,0.0,6,udpp
total,50,7835.37,7424.9400000000005,87.97,6,istop
B,13,1053.28,948.5600000000001,95.99,6,istop
A,16,3286.24,3108.27,85.38,6,istop
D,6,1323.46,1275.36,78.82,6,istop
E,3,404.37,404.37,11.78,6,istop
C,11,1660.49,1580.85,84.57,6,istop
F,1,107.53,107.53,0.0,6,istop
total,50,44172.319999999985,7286.780000000002,83.5,7,mincost
B,13,5912.139999999999,2388.61,59.6,7,mincost
E,3,1120.29,470.68,57.99,7,mincost
C,11,5358.82,1378.6599999999999,74.27,7,mincost
D,6,2246.3499999999995,836.8799999999999,62.74,7,mincost
A,16,28371.719999999998,1915.3600000000004,93.25,7,mincost
F,1,1163.0,296.59,74.5,7,mincost
total,50,44172.319999999985,7286.780000000002,83.5,7,nnbound
B,13,5912.139999999999,2388.61,59.6,7,nnbound
E,3,1120.29,470.68,57.99,7,nnbound
C,11,5358.82,1378.6599999999999,74.27,7,nnbound
D,6,2246.3499999999995,836.8799999999999,62.74,7,nnbound
A,16,28371.719999999998,1915.3600000000004,93.25,7,nnbound
F,1,1163.0,296.59,74.5,7,nnbound
total,50,44172.319999999985,11199.150000000001,74.65,7,udpp
B,13,5912.139999999999,1997.94,66.21,7,udpp
E,3,1120.29,442.95,60.46,7,udpp
C,11,5358.82,1753.1399999999999,67.28,7,udpp
D,6,2246.3499999999995,957.7399999999999,57.36,7,udpp
A,16,28371.719999999998,4884.38,82.78,7,udpp
F,1,1163.0,1163.0,0.0,7,udpp
total,50,11199.15,8630.939999999999,80.46,7,istop
B,13,1997.9399999999998,1498.28,74.66,7,istop
E,3,442.95,442.95,60.46,7,istop
C,11,1753.1399999999999,1358.06,74.66,7,istop
A,16,4884.38,3540.2500000000005,87.52,7,istop
D,6,957.7399999999999,628.4,72.03,7,istop
F,1,1163.0,1163.0,0.0,7,istop
total,50,78854.00000000001,6058.929999999999,92.32,8,mincost
C,11,12423.86,1298.99,89.54,8,mincost
F,1,0.0,23.69,0.0,8,mincost
A,18,17156.53,2583.79,84.94,8,mincost
B,12,8202.3,792.74,90.34,8,mincost
D,6,40769.19,844.6999999999999,97.93,8,mincost
E,2,302.12,515.02,-70.47,8,mincost
total,50,78854.00000000001,6081.769999999999,92.29,8,nnbound
C,11,12423.86,1341.06,89.21,8,nnbound
F,1,0.0,0.0,0.0,8,nnbound
A,18,17156.53,2643.9800000000005,84.59,8,nnbound
B,12,8202.3,1098.64,86.61,8,nnbound
D,6,40769.19,844.6999999999999,97.93,8,nnbound
E,2,302.12,153.39,49.23,8,nnbound
total,50,78854.00000000001,12132.490000000002,84.61,8,udpp
C,11,12423.86,2202.84,82.27,8,udpp
F,1,0.0,0.0,0.0,8,udpp
A,18,17156.53,1443.0700000000002,91.59,8,udpp
B,12,8202.3,5254.459999999999,35.94,8,udpp
D,6,40769.19,2930.0,92.81,8,udpp
E,2,302.12,302.12,0.0,8,udpp
total,50,12132.49,10278.73,86.96,8,istop
C,11,2202.84,2087.4500000000003,83.2,8,istop
F,1,0.0,0.0,0.0,8,istop
A,18,1443.07,1273.12,92.58,8,istop
B,12,5254.459999999999,4158.22,49.3,8,istop
D,6,2930.0000000000005,2464.86,93.95,8,istop
E,2,302.12,295.08,2.33,8,istop
total,50,31676.769999999997,5833.110000000001,81.59,9,mincost
C,10,8990.159999999998,953.14,89.4,9,mincost
B,13,11872.05,1286.3400000000001,89.16,9,mincost
E,3,121.76,795.59,-553.41,9,mincost
D,7,3820.7700000000004,751.89,80.32,9,mincost
A,16,6771.31,1699.3999999999999,74.9,9,mincost
F,1,100.72,346.75,-244.27,9,mincost
total,50,31676.769999999997,6234.320000000001,80.32,9,nnbound
C,10,8990.159999999998,1618.13,82.0,9,nnbound
B,13,11872.05,1369.7500000000002,88.46,9,nnbound
E,3,121.76,121.21000000000001,0.45,9,nnbound
D,7,3820.7700000000004,864.78,77.37,9,nnbound
A,16,6771.31,2159.73,68.1,9,nnbound
F,1,100.72,100.72,0.0,9,nnbound
total,50,31676.769999999997,6930.259999999999,78.12,9,udpp
C,10,8990.159999999998,920.3200000000002,89.76,9,udpp
B,13,11872.05,1670.81,85.93,9,udpp
E,3,121.76,66.42,45.45,9,udpp
D,7,3820.7700000000004,1255.3999999999996,67.14,9,udpp
A,16,6771.31,2916.59,56.93,9,udpp
F,1,100.72,100.72,0.0,9,udpp
total,50,6930.260000000001,6642.77,79.03,9,istop
C,10,920.32,884.2,90.16,9,istop
B,13,1670.81,1569.77,86.78,9,istop
E,3,66.42,66.42,45.45,9,istop
D,7,1255.4,1249.49,67.3,9,istop
A,16,2916.5899999999997,2772.1699999999996,59.06,9,istop
F,1,100.72,100.72,0.0,9,istop
total,50,21983.230000000003,5405.010000000002,75.41,10,mincost
A,15,4242.320000000001,2024.3400000000001,52.28,10,mincost
