airline,num flights,initial costs,final costs,reduction %,run,model
A,17,18426.22,2088.12,88.67,19,mincost
B,13,4082.44,1842.74,54.86,19,mincost
C,10,26665.25,941.0499999999998,96.47,19,mincost
D,6,1384.52,1292.56,6.64,19,mincost
E,3,12073.42,686.61,94.31,19,mincost
F,1,416.68,190.36,54.32,19,mincost
total,50,63048.530000000006,7041.440000000001,88.83,19,nnbound
A,17,18426.22,2088.12,88.67,19,nnbound
B,13,4082.44,1842.74,54.86,19,nnbound
C,10,26665.25,941.0499999999998,96.47,19,nnbound
D,6,1384.52,1292.56,6.64,19,nnbound
E,3,12073.42,686.61,94.31,19,nnbound
F,1,416.68,190.36,54.32,19,nnbound
total,50,63048.530000000006,7748.579999999999,87.71,19,udpp
A,17,18426.22,1778.0499999999997,90.35,19,udpp
B,13,4082.44,2446.3300000000004,40.08,19,udpp
C,10,26665.25,1486.8700000000003,94.42,19,udpp
D,6,1384.52,1268.17,8.4,19,udpp
E,3,12073.42,352.48,97.08,19,udpp
F,1,416.68,416.68,0.0,19,udpp
total,50,7748.579999999999,7423.09,88.23,19,istop
A,17,1778.0500000000002,1704.15,90.75,19,istop
B,13,2446.33,2400.4,41.2,19,istop
D,6,1268.17,1268.17,8.4,19,istop
C,10,1486.8700000000001,1344.8999999999999,94.96,19,istop
E,3,352.48,288.79,97.61,19,istop
F,1,416.68,416.68,0.0,19,istop
total,50,98626.33999999998,5137.849999999999,94.79,20,mincost
C,9,16327.51,1074.41,93.42,20,mincost
A,19,47649.31,1510.5700000000002,96.83,20,mincost
E,3,182.04,240.45,-32.09,20,mincost
B,12,21938.829999999998,1305.98,94.05,20,mincost
D,6,12345.53,905.8600000000001,92.66,20,mincost
F,1,183.12,100.58,45.07,20,mincost
total,50,98626.33999999998,5158.6799999999985,94.77,20,nnbound
C,9,16327.51,1074.41,93.42,20,nnbound
A,19,47649.31,1586.45,96.67,20,nnbound
E,3,182.04,177.72,2.37,20,nnbound
B,12,21938.829999999998,1305.98,94.05,20,nnbound
D,6,12345.53,913.5400000000001,92.6,20,nnbound
F,1,183.12,100.58,45.07,20,nnbound
total,50,98626.33999999998,8690.17,91.19,20,udpp
C,9,16327.51,759.4000000000001,95.35,20,udpp
A,19,47649.31,4894.12,89.73,20,udpp
E,3,182.04,68.8,62.21,20,udpp
B,12,21938.829999999998,2326.52,89.4,20,udpp
D,6,12345.53,458.21000000000004,96.29,20,udpp
F,1,183.12,183.12,0.0,20,udpp
total,50,8690.17,6732.219999999999,93.17,20,istop
C,9,759.4,732.87,95.51,20,istop
A,19,4894.12,3098.4100000000003,93.5,20,istop
B,12,2326.52,2231.89,89.83,20,istop
E,3,68.8,68.8,62.21,20,istop
D,6,458.21000000000004,417.13,96.62,20,istop
F,1,183.12,183.12,0.0,20,istop
total,50,31645.69,4675.2699999999995,85.23,21,mincost
C,10,1097.5100000000002,1021.11,6.96,21,mincost
D,6,1007.54,971.02,3.62,21,mincost
A,15,8458.500000000002,959.23,88.66,21,mincost
B,14,5952.51,1373.58,76.92,21,mincost
E,4,13553.7,350.33000000000004,97.42,21,mincost
F,1,1575.93,0.0,100.0,21,mincost
total,50,31645.69,4675.2699999999995,85.23,21,nnbound
C,10,1097.5100000000002,1021.11,6.96,21,nnbound
D,6,1007.54,971.02,3.62,21,nnbound
A,15,8458.500000000002,959.23,88.66,21,nnbound
B,14,5952.51,1373.58,76.92,21,nnbound
E,4,13553.7,350.33000000000004,97.42,21,nnbound
F,1,1575.93,0.0,100.0,21,nnbound
total,50,31645.69,8410.409999999998,73.42,21,udpp
C,10,1097.5100000000002,571.11,47.96,21,udpp
D,6,1007.54,517.98,48.59,21,udpp
A,15,8458.500000000002,2214.72,73.82,21,udpp
B,14,5952.51,2190.0,63.21,21,udpp
E,4,13553.7,1340.67,90.11,21,udpp
F,1,1575.93,1575.93,0.0,21,udpp
total,50,8410.409999999998,6790.170000000001,78.54,21,istop
C,10,571.1099999999999,561.72,48.82,21,istop
B,14,2190.0,2089.6099999999997,64.9,21,istop
A,15,2214.7200000000003,1731.1,79.53,21,istop
D,6,517.98,393.57000000000005,60.94,21,istop
E,4,1340.67,438.24,96.77,21,istop
F,1,1575.93,1575.93,0.0,21,istop
total,50,29767.019999999997,4906.750000000002,83.52,22,mincost
B,12,5600.22,901.0,83.91,22,mincost
D,7,13414.77,555.17,95.86,22,mincost
C,11,2674.7799999999997,1248.9899999999998,53.3,22,mincost
A,16,5612.92,1854.4699999999998,66.96,22,mincost
F,1,88.95,0.0,100.0,22,mincost
E,3,2375.38,347.12,85.39,22,mincost
total,50,29767.019999999997,4906.750000000002,83.52,22,nnbound
B,12,5600.22,901.0,83.91,22,nnbound
D,7,13414.77,555.17,95.86,22,nnbound
C,11,2674.7799999999997,1248.9899999999998,53.3,22,nnbound
A,16,5612.92,1854.4699999999998,66.96,22,nnbound
F,1,88.95,0.0,100.0,22,nnbound
E,3,2375.38,347.12,85.39,22,nnbound
total,50,29767.019999999997,5995.4800000000005,79.86,22,udpp
B,12,5600.22,2440.92,56.41,22,udpp
D,7,13414.77,784.4300000000001,94.15,22,udpp
C,11,2674.7799999999997,936.69,64.98,22,udpp
A,16,5612.92,1354.6699999999996,75.87,22,udpp
F,1,88.95,59.18,33.47,22,udpp
E,3,2375.38,419.59,82.34,22,udpp
total,50,5995.480000000001,5641.22,81.05,22,istop
B,12,2440.9200000000005,2126.75,62.02,22,istop
D,7,784.4300000000001,784.4300000000001,94.15,22,istop
C,11,936.6899999999999,923.4200000000001,65.48,22,istop
A,16,1354.6699999999998,1327.8500000000001,76.34,22,istop
F,1,59.18,59.18,33.47,22,istop
E,3,419.59,419.59,82.34,22,istop
total,50,94849.7,6157.340000000001,93.51,23,mincost
A,16,4770.91,2416.12,49.36,23,mincost
C,11,40779.27,762.19,98.13,23,mincost
E,3,828.48,58.09,92.99,23,mincost
D,6,34044.07,1035.9899999999998,96.96,23,mincost
B,13,14351.429999999998,1809.41,87.39,23,mincost
F,1,75.54,75.54,0.0,23,mincost
total,50,94849.7,6157.340000000001,93.51,23,nnbound
A,16,4770.91,2416.12,49.36,23,nnbound
C,11,40779.27,762.19,98.13,23,nnbound
E,3,828.48,58.09,92.99,23,nnbound
D,6,34044.07,1035.9899999999998,96.96,23,nnbound
B,13,14351.429999999998,1809.41,87.39,23,nnbound
F,1,75.54,75.54,0.0,23,nnbound
total,50,94849.7,7859.7699999999995,91.71,23,udpp
A,16,4770.91,2086.6100000000006,56.26,23,udpp
C,11,40779.27,3004.85,92.63,23,udpp
E,3,828.48,798.81,3.58,23,udpp
D,6,34044.07,1310.41,96.15,23,udpp
B,13,14351.429999999998,583.5500000000001,95.93,23,udpp
F,1,75.54,75.54,0.0,23,udpp
total,50,7859.769999999999,7407.8099999999995,92.19,23,istop
A,16,2086.61,1876.0700000000002,60.68,23,istop
C,11,3004.85,2950.29,92.77,23,istop
E,3,798.81,798.81,3.58,23,istop
B,13,583.5500000000001,564.68,96.07,23,istop
D,6,1310.4099999999999,1142.42,96.64,23,istop
F,1,75.54,75.54,0.0,23,istop
total,50,63621.48999999999,6360.969999999999,90.0,24,mincost
B,13,42314.64,873.0999999999999,97.94,24,mincost
A,17,13145.86,2779.29,78.86,24,mincost
C,10,3415.91,1236.6999999999998,63.8,24,mincost
D,6,2694.3,1090.46,59.53,24,mincost
E,3,1947.9399999999998,106.08000000000001,94.55,24,mincost
F,1,102.84,275.34,-167.74,24,mincost
total,50,63621.48999999999,6432.25,89.89,24,nnbound
B,13,42314.64,897.4299999999998,97.88,24,nnbound
A,17,13145.86,2884.2,78.06,24,nnbound
C,10,3415.91,1276.12,62.64,24,nnbound
D,6,2694.3,1145.31,57.49,24,nnbound
E,3,1947.9399999999998,126.35000000000001,93.51,24,nnbound
F,1,102.84,102.84,0.0,24,nnbound
total,50,63621.48999999999,8838.630000000001,86.11,24,udpp
B,13,42314.64,2011.9199999999998,95.25,24,udpp
A,17,13145.86,2231.7900000000004,83.02,24,udpp
C,10,3415.91,1497.98,56.15,24,udpp
D,6,2694.3,1106.27,58.94,24,udpp
E,3,1947.9399999999998,1887.83,3.09,24,udpp
F,1,102.84,102.84,0.0,24,udpp
total,50,8838.630000000001,8538.45,86.58,24,istop
B,13,2011.92,1773.54,95.81,24,istop
A,17,2231.79,2231.79,83.02,24,istop
C,10,1497.98,1436.1799999999998,57.96,24,istop
D,6,1106.27,1106.27,58.94,24,istop
E,3,1887.83,1887.83,3.09,24,istop
F,1,102.84,102.84,0.0,24,istop
total,50,54398.61999999999,5153.789999999999,90.53,25,mincost
B,13,9875.159999999998,1853.79,81.23,25,mincost
A,16,3951.4700000000003,1846.8499999999997,53.26,25,mincost
E,3,1082.28,242.57999999999998,77.59,25,mincost
C,12,16216.73,1030.11,93.65,25,mincost
D,5,23011.88,180.46,99.22,25,mincost
F,1,261.1,0.0,100.0,25,mincost
total,50,54398.61999999999,5153.789999999999,90.53,25,nnbound
B,13,9875.159999999998,1853.79,81.23,25,nnbound
A,16,3951.4700000000003,1846.8499999999997,53.26,25,nnbound
E,3,1082.28,242.57999999999998,77.59,25,nnbound
C,12,16216.73,1030.11,93.65,25,nnbound
D,5,23011.88,180.46,99.22,25,nnbound
F,1,261.1,0.0,100.0,25,nnbound
total,50,54398.61999999999,6976.259999999999,87.18,25,udpp
B,13,9875.159999999998,1076.5400000000002,89.1,25,udpp
A,16,3951.4700000000003,1044.7200000000003,73.56,25,udpp
E,3,1082.28,942.8000000000001,12.89,25,udpp
C,12,16216.73,1887.57,88.36,25,udpp
D,5,23011.88,1797.25,92.19,25,udpp
F,1,261.1,227.38,12.91,25,udpp
total,50,6976.260000000001,6917.5,87.28,25,istop
B,13,1076.54,1067.87,89.19,25,istop
A,16,1044.72,1025.32,74.05,25,istop
C,12,1887.57,1878.6799999999998,88.42,25,istop
E,3,942.8000000000001,922.32,14.78,25,istop
F,1,227.38,227.38,12.91,25,istop
D,5,1797.25,1795.9300000000003,92.2,25,istop
total,50,53426.65000000001,4741.96,91.12,26,mincost
D,7,11421.32,488.48,95.72,26,mincost
B,14,28563.24,1128.6999999999998,96.05,26,mincost
A,17,7591.120000000001,2012.4800000000002,73.49,26,mincost
F,1,40.77,0.0,100.0,26,mincost
C,9,1359.1599999999999,927.94,31.73,26,mincost
E,2,4451.04,184.36,95.86,26,mincost
total,50,53426.65000000001,4741.96,91.12,26,nnbound
D,7,11421.32,488.48,95.72,26,nnbound
B,14,28563.24,1128.6999999999998,96.05,26,nnbound
A,17,7591.120000000001,2012.4800000000002,73.49,26,nnbound
F,1,40.77,0.0,100.0,26,nnbound
C,9,1359.1599999999999,927.94,31.73,26,nnbound
E,2,4451.04,184.36,95.86,26,nnbound
total,50,53426.65000000001,6252.819999999999,88.3,26,udpp
D,7,11421.32,1478.7199999999998,87.05,26,udpp
B,14,28563.24,1980.64,93.07,26,udpp
A,17,7591.120000000001,1285.68,83.06,26,udpp
F,1,40.77,0.0,100.0,26,udpp
C,9,1359.1599999999999,900.94,33.71,26,udpp
E,2,4451.04,606.84,86.37,26,udpp
total,50,6252.820000000001,5596.780000000002,89.52,26,istop
D,7,1478.72,1064.8899999999999,90.68,26,istop
B,14,1980.64,1854.4,93.51,26,istop
F,1,0.0,0.0,100.0,26,istop
A,17,1285.68,1223.0200000000002,83.89,26,istop
C,9,900.9399999999999,847.6299999999999,37.64,26,istop
E,2,606.84,606.84,86.37,26,istop
total,50,37209.850000000006,4239.669999999999,88.61,27,mincost
C,9,3755.4700000000003,474.35999999999996,87.37,27,mincost
B,14,18058.92,1541.42,91.46,27,mincost
D,7,6696.200000000001,737.6800000000001,88.98,27,mincost
A,16,6918.15,734.23,89.39,27,mincost
E,3,1640.82,629.79,61.62,27,mincost
F,1,140.29,122.19,12.9,27,mincost
total,50,37209.850000000006,4239.669999999999,88.61,27,nnbound
C,9,3755.4700000000003,474.35999999999996,87.37,27,nnbound
B,14,18058.92,1541.42,91.46,27,nnbound
D,7,6696.200000000001,737.6800000000001,88.98,27,nnbound
A,16,6918.15,734.23,89.39,27,nnbound
E,3,1640.82,629.79,61.62,27,nnbound
F,1,140.29,122.19,12.9,27,nnbound
total,50,37209.850000000006,5832.8600000000015,84.32,27,udpp
C,9,3755.4700000000003,254.91,93.21,27,udpp
B,14,18058.92,1780.02,90.14,27,udpp
D,7,6696.200000000001,948.68,85.83,27,udpp
A,16,6918.15,2204.9199999999996,68.13,27,udpp
E,3,1640.82,504.03999999999996,69.28,27,udpp
F,1,140.29,140.29,0.0,27,udpp
total,50,5832.860000000001,5223.630000000001,85.96,27,istop
C,9,254.91,186.13,95.04,27,istop
B,14,1780.02,1727.74,90.43,27,istop
D,7,948.68,740.0,88.95,27,istop
A,16,2204.9199999999996,2154.73,68.85,27,istop
E,3,504.03999999999996,274.74,83.26,27,istop
F,1,140.29,140.29,0.0,27,istop
total,50,39660.19000000001,5548.099999999999,86.01,28,mincost
C,9,3560.2099999999996,948.5200000000001,73.36,28,mincost
B,13,15858.32,1179.03,92.57,28,mincost
D,8,5716.79,1014.6300000000001,82.25,28,mincost
A,16,13546.34,1931.8700000000001,85.74,28,mincost
E,3,898.05,372.96,58.47,28,mincost
F,1,80.48,101.09,-25.61,28,mincost
total,50,39660.19000000001,5555.4299999999985,85.99,28,nnbound
C,9,3560.2099999999996,948.5200000000001,73.36,28,nnbound
B,13,15858.32,1186.35,92.52,28,nnbound
D,8,5716.79,1014.6300000000001,82.25,28,nnbound
A,16,13546.34,1952.49,85.59,28,nnbound
E,3,898.05,372.96,58.47,28,nnbound
F,1,80.48,80.48,0.0,28,nnbound
total,50,39660.19000000001,8457.909999999998,78.67,28,udpp
C,9,3560.2099999999996,1056.83,70.32,28,udpp
B,13,15858.32,2035.6,87.16,28,udpp
D,8,5716.79,2963.0299999999997,48.17,28,udpp
A,16,13546.34,1925.57,85.79,28,udpp
E,3,898.05,396.40000000000003,55.86,28,udpp
F,1,80.48,80.48,0.0,28,udpp
total,50,8457.91,7342.150000000001,81.49,28,istop
C,9,1056.8300000000002,835.61,76.53,28,istop
B,13,2035.6,1969.98,87.58,28,istop
D,8,2963.0299999999997,2228.85,61.01,28,istop
A,16,1925.57,1834.73,86.46,28,istop
E,3,396.40000000000003,392.5,56.29,28,istop
F,1,80.48,80.48,0.0,28,istop
total,50,78477.79000000001,7123.299999999999,90.92,29,mincost
D,6,11440.73,984.41,91.4,29,mincost
B,12,11177.189999999999,1556.9100000000003,86.07,29,mincost
A,17,35189.990000000005,2828.21,91.96,29,mincost
F,1,10.36,293.47,-2732.72,29,mincost
C,11,7113.56,1102.25,84.5,29,mincost
E,3,13545.960000000001,358.05,97.36,29,mincost
total,50,78477.79000000001,7592.039999999999,90.33,29,nnbound
D,6,11440.73,1020.69,91.08,29,nnbound
B,12,11177.189999999999,1741.9000000000003,84.42,29,nnbound
A,17,35189.990000000005,3251.4,90.76,29,nnbound
F,1,10.36,10.36,0.0,29,nnbound
C,11,7113.56,1189.83,83.27,29,nnbound
E,3,13545.960000000001,377.86,97.21,29,nnbound
total,50,78477.79000000001,11206.580000000002,85.72,29,udpp
D,6,11440.73,693.92,93.93,29,udpp
B,12,11177.189999999999,1922.1200000000001,82.8,29,udpp
A,17,35189.990000000005,2234.9600000000005,93.65,29,udpp
F,1,10.36,10.36,0.0,29,udpp
C,11,7113.56,2996.6099999999997,57.87,29,udpp
E,3,13545.960000000001,3348.6099999999997,75.28,29,udpp
total,50,11206.580000000004,9493.139999999998,87.9,29,istop
D,6,693.92,692.0899999999999,93.95,29,istop
B,12,1922.1200000000001,1861.5600000000002,83.35,29,istop
A,17,2234.9599999999996,2164.23,93.85,29,istop
F,1,10.36,10.36,0.0,29,istop
C,11,2996.6099999999997,2759.4900000000002,61.21,29,istop
E,3,3348.61,2005.4099999999999,85.2,29,istop
total,50,64057.79,3977.21,93.79,30,mincost
D,6,1352.7800000000002,155.15,88.53,30,mincost
B,13,16280.09,1274.61,92.17,30,mincost
A,16,22127.84,1171.13,94.71,30,mincost
C,10,12068.63,1117.46,90.74,30,mincost
F,2,8674.199999999999,34.63,99.6,30,mincost
E,3,3554.25,224.23000000000002,93.69,30,mincost
total,50,64057.79,3977.21,93.79,30,nnbound
D,6,1352.7800000000002,155.15,88.53,30,nnbound
B,13,16280.09,1274.61,92.17,30,nnbound
A,16,22127.84,1171.13,94.71,30,nnbound
C,10,12068.63,1117.46,90.74,30,nnbound
F,2,8674.199999999999,34.63,99.6,30,nnbound
E,3,3554.25,224.23000000000002,93.69,30,nnbound
total,50,64057.79,8827.429999999998,86.22,30,udpp
D,6,1352.7800000000002,643.08,52.46,30,udpp
B,13,16280.09,1059.13,93.49,30,udpp
A,16,22127.84,1762.6699999999998,92.03,30,udpp
C,10,12068.63,1864.87,84.55,30,udpp
F,2,8674.199999999999,372.04,95.71,30,udpp
E,3,3554.25,3125.6400000000003,12.06,30,udpp
total,50,8827.430000000004,5015.34,92.17,30,istop
D,6,643.08,436.4,67.74,30,istop
B,13,1059.13,1024.88,93.7,30,istop
A,16,1762.67,1373.5999999999997,93.79,30,istop
C,10,1864.8699999999997,1463.7800000000002,87.87,30,istop
E,3,3125.6400000000003,344.64,90.3,30,istop
F,2,372.04,372.04,95.71,30,istop
total,50,110403.80999999997,7007.51,93.65,31,mincost
E,3,38111.89,40.15,99.89,31,mincost
A,18,18259.73,3082.52,83.12,31,mincost
B,13,10205.510000000004,1601.96,84.3,31,mincost
C,9,41942.16,1363.99,96.75,31,mincost
D,6,1864.01,873.5799999999999,53.13,31,mincost
F,1,20.51,45.31,-120.92,31,mincost
total,50,110403.80999999997,7148.450000000002,93.53,31,nnbound
E,3,38111.89,205.89,99.46,31,nnbound
A,18,18259.73,3082.52,83.12,31,nnbound
B,13,10205.510000000004,1601.96,84.3,31,nnbound
C,9,41942.16,1363.99,96.75,31,nnbound
D,6,1864.01,873.5799999999999,53.13,31,nnbound
F,1,20.51,20.51,0.0,31,nnbound
total,50,110403.80999999997,10906.01,90.12,31,udpp
E,3,38111.89,2293.11,93.98,31,udpp
A,18,18259.73,1935.1300000000003,89.4,31,udpp
B,13,10205.510000000004,3833.2300000000005,62.44,31,udpp
C,9,41942.16,1862.8600000000001,95.56,31,udpp
D,6,1864.01,961.1700000000001,48.44,31,udpp
F,1,20.51,20.51,0.0,31,udpp
total,50,10906.009999999997,8978.49,91.87,31,istop
E,3,2293.11,2293.11,93.98,31,istop
A,18,1935.13,1915.1,89.51,31,istop
B,13,3833.2300000000005,2037.7099999999998,80.03,31,istop
C,9,1862.8599999999997,1755.57,95.81,31,istop
D,6,961.17,956.4899999999999,48.69,31,istop
F,1,20.51,20.51,0.0,31,istop
total,50,14144.81,4402.16,68.88,32,mincost
C,10,1501.88,1222.69,18.59,32,mincost
A,16,6489.599999999999,1005.5900000000001,84.5,32,mincost
B,13,3554.5200000000004,1401.28,60.58,32,mincost
D,6,1363.53,278.21,79.6,32,mincost
E,4,1201.29,436.96999999999997,63.62,32,mincost
F,1,33.99,57.42,-68.93,32,mincost
total,50,14144.81,4480.299999999999,68.33,32,nnbound
C,10,1501.88,1235.26,17.75,32,nnbound
A,16,6489.599999999999,1022.8400000000001,84.24,32,nnbound
B,13,3554.5200000000004,1409.36,60.35,32,nnbound
D,6,1363.53,278.21,79.6,32,nnbound
E,4,1201.29,500.64,58.32,32,nnbound
F,1,33.99,33.99,0.0,32,nnbound
total,50,14144.81,5184.8,63.34,32,udpp
C,10,1501.88,908.54,39.51,32,udpp
A,16,6489.599999999999,1008.29,84.46,32,udpp
B,13,3554.5200000000004,1303.36,63.33,32,udpp
D,6,1363.53,1058.7800000000002,22.35,32,udpp
E,4,1201.29,871.84,27.42,32,udpp
F,1,33.99,33.99,0.0,32,udpp
total,50,5184.8,4938.76,65.08,32,istop
C,10,908.54,882.35,41.25,32,istop
B,13,1303.3600000000001,1253.1999999999998,64.74,32,istop
A,16,1008.29,974.06,84.99,32,istop
D,6,1058.78,1054.65,22.65,32,istop
E,4,871.8399999999999,740.51,38.36,32,istop
F,1,33.99,33.99,0.0,32,istop
total,50,60196.130000000005,5486.139999999999,90.89,33,mincost
F,1,0.0,0.0,0.0,33,mincost
A,14,9374.409999999998,1709.6899999999998,81.76,33,mincost
E,4,14027.98,748.48,94.66,33,mincost
C,11,5347.719999999999,585.11,89.06,33,mincost
B,13,28823.57,1540.81,94.65,33,mincost
D,7,2622.4500000000003,902.0500000000001,65.6,33,mincost
total,50,60196.130000000005,5486.139999999999,90.89,33,nnbound
F,1,0.0,0.0,0.0,33,nnbound
A,14,9374.409999999998,1709.6899999999998,81.76,33,nnbound
E,4,14027.98,748.48,94.66,33,nnbound
C,11,5347.719999999999,585.11,89.06,33,nnbound
B,13,28823.57,1540.81,94.65,33,nnbound
D,7,2622.4500000000003,902.0500000000001,65.6,33,nnbound
total,50,60196.130000000005,7745.1100000000015,87.13,33,udpp
F,1,0.0,0.0,0.0,33,udpp
A,14,9374.409999999998,1687.9199999999998,81.99,33,udpp
E,4,14027.98,923.1600000000001,93.42,33,udpp
C,11,5347.719999999999,1965.6899999999998,63.24,33,udpp
B,13,28823.57,2860.92,90.07,33,udpp
D,7,2622.4500000000003,307.41999999999996,88.28,33,udpp
total,50,7745.1100000000015,6807.7300000000005,88.69,33,istop
F,1,0.0,0.0,0.0,33,istop
A,14,1687.92,1685.08,82.02,33,istop
C,11,1965.69,1921.3,64.07,33,istop
B,13,2860.92,1970.7700000000002,93.16,33,istop
D,7,307.41999999999996,307.41999999999996,88.28,33,istop
E,4,923.1600000000001,923.1600000000001,93.42,33,istop
total,50,72923.15999999999,7128.8,90.22,34,mincost
A,16,9304.22,1168.1200000000001,87.45,34,mincost
F,2,328.0,840.24,-156.17,34,mincost
C,12,28355.23,2219.46,92.17,34,mincost
B,12,28087.71,1929.9199999999998,93.13,34,mincost
E,2,336.1,302.98,9.85,34,mincost
D,6,6511.9,668.08,89.74,34,mincost
total,50,72923.15999999999,7157.06,90.19,34,nnbound
A,16,9304.22,1422.54,84.71,34,nnbound
F,2,328.0,236.03,28.04,34,nnbound
C,12,28355.23,2404.8199999999997,91.52,34,nnbound
B,12,28087.71,1950.08,93.06,34,nnbound
E,2,336.1,302.98,9.85,34,nnbound
D,6,6511.9,840.6100000000001,87.09,34,nnbound
total,50,72923.15999999999,9373.499999999998,87.15,34,udpp
A,16,9304.22,3511.5400000000004,62.26,34,udpp
F,2,328.0,328.0,0.0,34,udpp
C,12,28355.23,2174.31,92.33,34,udpp
B,12,28087.71,2698.5299999999997,90.39,34,udpp
E,2,336.1,277.78,17.35,34,udpp
D,6,6511.9,383.34,94.11,34,udpp
total,50,9373.5,8943.73,87.74,34,istop
A,16,3511.54,3403.9000000000005,63.42,34,istop
F,2,328.0,313.57,4.4,34,istop
C,12,2174.3100000000004,1890.05,93.33,34,istop
E,2,277.78,263.16999999999996,21.7,34,istop
D,6,383.34000000000003,374.51,94.25,34,istop
B,12,2698.5299999999997,2698.5299999999997,90.39,34,istop
total,50,71149.82999999999,4561.890000000002,93.59,35,mincost
C,10,19237.670000000002,771.7399999999999,95.99,35,mincost
B,13,18275.19,1249.6300000000003,93.16,35,mincost
E,3,405.61,263.9,34.94,35,mincost
A,16,27855.75,1187.0699999999997,95.74,35,mincost
D,7,5261.9,1070.82,79.65,35,mincost
F,1,113.71,18.73,83.53,35,mincost
total,50,71149.82999999999,4561.890000000002,93.59,35,nnbound
C,10,19237.670000000002,771.7399999999999,95.99,35,nnbound
B,13,18275.19,1249.6300000000003,93.16,35,nnbound
E,3,405.61,263.9,34.94,35,nnbound
A,16,27855.75,1187.0699999999997,95.74,35,nnbound
D,7,5261.9,1070.82,79.65,35,nnbound
F,1,113.71,18.73,83.53,35,nnbound
total,50,71149.82999999999,5084.120000000002,92.85,35,udpp
C,10,19237.670000000002,814.3100000000001,95.77,35,udpp
B,13,18275.19,1553.8500000000001,91.5,35,udpp
E,3,405.61,83.36,79.45,35,udpp
A,16,27855.75,1850.39,93.36,35,udpp
D,7,5261.9,687.8,86.93,35,udpp
F,1,113.71,94.41,16.97,35,udpp
total,50,5084.120000000001,4928.02,93.07,35,istop
C,10,814.31,789.59,95.9,35,istop
B,13,1553.85,1548.6099999999997,91.53,35,istop
E,3,83.36,83.36,79.45,35,istop
A,16,1850.3899999999999,1735.9499999999998,93.77,35,istop
D,7,687.8,676.1,87.15,35,istop
F,1,94.41,94.41,16.97,35,istop
total,50,20443.519999999997,6267.4800000000005,69.34,36,mincost
B,14,7753.619999999999,1603.82,79.32,36,mincost
D,6,957.9200000000001,549.31,42.66,36,mincost
C,9,2370.61,876.34,63.03,36,mincost
A,17,3419.1100000000006,2648.0999999999995,22.55,36,mincost
F,1,66.29,409.76,-518.13,36,mincost
E,3,5875.969999999999,180.15,96.93,36,mincost
total,50,20443.519999999997,6407.77,68.66,36,nnbound
B,14,7753.619999999999,1682.4400000000003,78.3,36,nnbound
D,6,957.9200000000001,835.43,12.79,36,nnbound
C,9,2370.61,855.7700000000001,63.9,36,nnbound
A,17,3419.1100000000006,2779.6399999999994,18.7,36,nnbound
F,1,66.29,54.76,17.39,36,nnbound
E,3,5875.969999999999,199.73000000000002,96.6,36,nnbound
total,50,20443.519999999997,12409.450000000003,39.3,36,udpp
B,14,7753.619999999999,1798.78,76.8,36,udpp
D,6,957.9200000000001,868.8299999999999,9.3,36,udpp
C,9,2370.61,2010.3999999999996,15.19,36,udpp
A,17,3419.1100000000006,1876.92,45.11,36,udpp
F,1,66.29,54.76,17.39,36,udpp
E,3,5875.969999999999,5799.759999999999,1.3,36,udpp
total,50,12409.45,11702.170000000004,42.76,36,istop
B,14,1798.78,1594.8000000000002,79.43,36,istop
D,6,868.8299999999999,865.93,9.6,36,istop
A,17,1876.9199999999998,1869.88,45.31,36,istop
C,9,2010.3999999999996,1517.04,36.01,36,istop
F,1,54.76,54.76,17.39,36,istop
E,3,5799.759999999999,5799.759999999999,1.3,36,istop
total,50,41370.270000000004,5343.56,87.08,37,mincost
A,16,16431.42,1758.2100000000003,89.3,37,mincost
F,1,11.59,535.73,-4522.35,37,mincost
C,8,15126.900000000001,965.75,93.62,37,mincost
B,14,5030.279999999999,1060.72,78.91,37,mincost
D,8,3994.05,633.68,84.13,37,mincost
E,3,776.03,389.47,49.81,37,mincost
total,50,41370.270000000004,5462.900000000001,86.8,37,nnbound
A,16,16431.42,1989.7300000000002,87.89,37,nnbound
F,1,11.59,0.0,100.0,37,nnbound
C,8,15126.900000000001,1204.7,92.04,37,nnbound
B,14,5030.279999999999,1136.14,77.41,37,nnbound
D,8,3994.05,742.86,81.4,37,nnbound
E,3,776.03,389.47,49.81,37,nnbound
total,50,41370.270000000004,6139.430000000001,85.16,37,udpp
A,16,16431.42,918.5000000000001,94.41,37,udpp
F,1,11.59,11.59,0.0,37,udpp
C,8,15126.900000000001,1482.4799999999998,90.2,37,udpp
B,14,5030.279999999999,2469.56,50.91,37,udpp
D,8,3994.05,626.03,84.33,37,udpp
E,3,776.03,631.27,18.65,37,udpp
total,50,6139.429999999999,5940.790000000001,85.64,37,istop
A,16,918.5,903.7200000000001,94.5,37,istop
F,1,11.59,11.59,0.0,37,istop
C,8,1482.4799999999998,1356.1200000000001,91.04,37,istop
B,14,2469.56,2465.13,50.99,37,istop
D,8,626.03,595.06,85.1,37,istop
E,3,631.27,609.17,21.5,37,istop
total,50,38586.76,6402.190000000001,83.41,38,mincost
B,14,9286.87,2383.69,74.33,38,mincost
A,17,11478.639999999998,1836.6299999999999,84.0,38,mincost
D,6,1252.12,989.7800000000001,20.95,38,mincost
C,10,11609.949999999999,907.1499999999999,92.19,38,mincost
E,2,525.81,123.82,76.45,38,mincost
F,1,4433.37,161.12,96.37,38,mincost
